total_utilization,avg_reward
0.16026666666666667,0.31
0.18333333333333332,0.59
0.2064,0.95
0.16866666666666666,0.68
0.22186666666666666,1.1
0.21226666666666666,1.09
0.20733333333333334,1.16
0.2336,1.12
0.24026666666666666,1.55
0.23586666666666667,1.7
0.2534666666666667,1.93
0.2616,1.72
0.23013333333333333,2.0
0.25626666666666664,1.93
0.24266666666666667,1.97
0.26453333333333334,2.05
0.2476,1.93
0.2572,1.99
0.2604,2.02
0.248,1.95
0.2548,1.87
0.2724,1.88
0.2594666666666667,1.93
0.28253333333333336,1.89
0.2604,2.01
0.28626666666666667,1.94
0.2548,2.02
0.2532,1.92
0.2636,2.03
0.26453333333333334,2.08
